Mkt_Title,Level,Start_Date,Length,Hours_Per_Week,Mode_Of_Attendance,Location,Home_Fee,Mkt_Level,Is_the_course_for_me,What_is_learnt,What_is_involved,Options_on_completion,What_do_I_need_to_get_on_the_course,How_long_is_the_course,How_much_will_the_course_cost,Code,Occurrence,Mnemonic,Subject_Area
English for Speakers of Other Languages,Entry,18-Apr-07,6 weeks,8.5,Part Time Day,East Ham Campus,0,Entry Level 1,"This course is designed for learners who are almost new to the English language, or with very little basic language and literacy skills.","You will learn how to use everyday English in familiar and personal situations, develop skills that will be applied to simple and familiar situations. You will also have the opportunity to sit a nationally recognised exam.",You need to attend at least 85% of classes in order to achieve credits.,Progression onto Entry Level 2.,You will need to attend a language assessment and interview.,"The course starts on Wednesday 18 April 2007, and takes 6 weeks to complete studying part time day for 8.5 hours per week on various days. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £510. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1E00612,06/07E,1D-NC-ESOL-A-5E,Foundation programmes
English for Speakers of Other Languages,Entry,19-Feb-07,6 weeks,5,Part Time Evening,East Ham Campus,0,Entry Level 1,"This course is designed for learners who are almost new to the English language, or with very little basic language and literacy skills.","You will learn how to use everyday English in familiar and personal situations, develop skills that will be applied to simple and familiar situations. You will also have an opportunity to sit a nationally recognised exam.",You need to attend at least 85% of classes in order to achieve credits.,Progression onto Entry Level 2.,You will need to attend a language assessment and interview.,"The course starts on Monday 19 February 2007, and takes 6 weeks to complete studying part time evening for 5 hours per week on various days. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £375. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1E00308,06/07D,1E-NC-ESOL-A-4D,Foundation programmes
English For Speakers Of Other Languages,1,19-Feb-07,6 weeks,8.5,Part Time Day,East Ham Campus,0,Level 1,"This course is designed for learners who are able to apply language and literacy skills to a range of situations such as everyday, official and in particular, study situations.","You will build on previous knowledge in order to achieve the skills at foundation level. At this level of study you will focus on a wider and more general context for using language and literacy, to achieve the skills necessary to acquire Level 1 and move",You need to attend at least 85% of classes in order to achieve credits.,"Progression onto Level 2.
Progression onto vocational programmes.",You will need to attend a language assessment and interview or progression from Entry Level 3.,"The course starts on Monday 19 February 2007, and takes 6 weeks to complete studying part time day for 8.5 hours per week on various days. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £510. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1100300,06/07D,1D-NC-ESOL-1-4D,Foundation programmes
English for Speakers of Other Languages ,Entry,18-Apr-07,6 weeks,16,Full Time Short,Stratford Campus,0,Entry Level 3,This course is designed for learners who have working knowledge of the English Language and are able to show understanding and application of reading and writing skills in a limited range of informal and formal situations.,"This will include taking part in discussions with one or more persons, writing sentences by making use of basic punctuation and grammar, and being relatively confident about using language for everyday, familiar, and semi-formal situations. You will also ",You need to attend at least 85% of classes in order to achieve credits.,"Progression onto Level 1.
Progression onto vocational courses.",You will need to attend a language assessment and interview or progression from Entry Level 2.,"The course starts on Wednesday 18 April 2007, and takes 6 weeks to complete studying full time for 16 hours per week on various days. You will study at the Stratford Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1E02601,06/07E,1S-NC-ENGL-C-5E-S,Foundation programmes
English for Speakers of Other Languages (Evening),Entry,30-Oct-06,6 weeks,5,Part Time Evening,Stratford Campus,0,Entry Level 3,This course is designed for learners who have working knowledge of the English language and are able to show understanding and application of reading and writing skills in a limited range of informal and formal situations.,"This will include taking part in discussions with one or more persons, writing sentences by making use of basic punctuation and grammar, and being relatively confident about using language for everyday, familiar, and semi-formal situations. You will also ",You will need to attend at least 85% of classes in order to achieve credits.,Progression on to Level 1.,You will need to attend a language assessment and interview or progression from Entry Level 2.,"The course starts on Monday 30 October 2006, and takes 6 weeks to complete studying part time evening for 5 hours per week on various days. You will study at the Stratford Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £375. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1E00399,06/07B,1E-NC-ESOL-C-2B-S,Foundation programmes
English for Speakers of Other Languages (Evening),Entry,19-Feb-07,6 weeks,5,Part Time Evening,Stratford Campus,0,Entry Level 1,"This course is designed for learners who are almost new to the English language, or with very little basic language and literacy skills.",You will learn how to use everyday English in familiar and personal situations. You will also develop skills that will be applied to simple and familiar situations as well as have an opportunity to sit a nationally recognised exam.,You need to attend at least 85% of classes in order to achieve credits.,Progression onto Entry Level 2.,You will need to attend a language assessment and interview.,"The course starts on Monday 19 February 2007, and takes 6 weeks to complete studying part time evening for 5 hours per week on various days. You will study at the Stratford Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £375. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1E00401,06/07D,1E-NC-ESOL-A-4D-S,Foundation programmes
English for Speakers of Other Languages,1,19-Feb-07,6 weeks,8.5,Part Time Day,Stratford Campus,0,Level 1,"This course is designed for learners who are able to apply language and literacy skills to a range of situations such as everyday, official, and in particular, study situations.","You will build on previous knowledge in order to achieve the skills at foundation level. At this level of study you will focus on a wider and more general context for using language and literacy, to achieve the skills necessary to acquire Level 1 and move",You will need to attend at least 85% of classes in order to achieve credits.,"Progression onto Level 2.
Progression onto Vocational programmes.",You will need to attend a language assessment and interview or progression from Entry Level 3.,"The course starts on Monday 19 February 2007, and takes 6 weeks to complete studying part time day for 8.5 hours per week on various days. You will study at the Stratford Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £510. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1100363,06/07D,1D-NC-ESOL-1-4D-S,Foundation programmes
English for Speakers of Other Languages (ESOL),Entry,18-Sep-06,12 weeks,5,Part Time Day,Eastlea Centre,0,Pre-entry to Level 1,The courses are designed for non-native speakers of English who wish to develop or improve their English language skills. The courses are suitable for all levels of learner from beginner upwards.,"All our ESOL courses are based on the the ESOL National Core Curriculum and involve the development of skills in: Speaking, Listening, Reading and Writing. The focus is on everyday English and developing practical communication skills. Learners also devel","The courses are part time and involve attendance for five hours a week. Courses are offered at all Associate Faculty centres, and are run in both the day and the evening.
A variety of teaching methods are used, including role play, drilling, group-work, ","When you achieve the appropriate standard, you will be able to progress to a higher level ESOL course. You will also be able to progress onto a vocational course if you wish to do so.","No qualifications are required, only a willingness to learn.
Your level of English will be assessed and you will be placed on the correct level of course for you.","The course starts on Monday 18 September 2006, and takes 12 weeks to complete studying part time day for 5 hours per week on various days. You will study at the Eastlea Centre.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £645. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1E01740,06/07A,1D-NC-ESOL-A-1A-EL,Foundation programmes
English for Speakers of Other Languages (ESOL),Entry,21-Apr-07,12 weeks,5,Part Time Evening,Eastlea Centre,0,Entry Level,"These courses are designed for non-native speakers of English, who wish to develop or improve their English language skills. The courses are suitable for all levels of learner from beginner upwards.","All our ESOL courses are based on the ESOL National Core Curriculum and involve the development of skills in: Speaking, Listening, Reading and Writing. The focus is on everyday English and developing practical communication skills. Learners also develop t","The courses are part time and involve attendence for five hours a week. Courses are offered at all associate Faculty centres and are run in both the day and the evening.
A variety of teaching methods are used, including role-play, drilling, group work an","When you achieve the appropriate standard, you will be able to progress to a higher level ESOL course. You will be able to progress onto a vocational course if you wish to do so.","No qualifications are required, only a willingness to learn. Your level of English will be assessed and you will be placed on the correct level of course for you.","The course starts on Saturday 21 April 2007, and takes 12 weeks to complete studying part time evening for 5 hours per week on various days. You will study at the Eastlea Centre.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £645. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1E01431,06/07E,1E-NC-ESOL-B-3E-EL,Foundation programmes
Spread sheets/Excel for beginners and improvers,Entry,08-Jan-07,12 weeks,2.5,Part Time Evening,Forest Gate Learning Zone,75,Entry Level,"If you can already use a computer and want to increase your knowledge and skills using other software packages or you have heard about Excel and do not know how to use it then yes, this is the course for you.","You will learn about what spread sheets actually are and will be able to create your own tables, change and save information, print and close. If you are an improver the information and creation of the tables will be more complicated to improve your skill","You will be working towards an Open College Network qualification, which will involve you undertaking assessments that will be built into the course.",There is a progression route at this site to level 1. You can choose to undertake further computer courses here or at our other sites.,You will need an understanding of English at Entry 3 or above and have a basic understanding of using a computer.,"The course starts on Monday 8 January 2007, and takes 12 weeks to complete studying part time evening for 2.5 hours per week on various days. You will study at the Forest Gate Learning Zone.",The course fee is £75. If you are not eligible for the home student fee you will be charged the overseas fee of £375. This course is free to UK/EU residents who are unemployed and in receipt of benefits. This course can be undertaken as a stand alone cour,C1E01325,06/07C,1E-NC-SHTBEG-A-1C-FG,"Business administration, Management and Professional"
English for Speakers of Other Languages,1,08-Jan-07,12 weeks,5,Part Time Day,Beckton Globe Centre,0,Level 1,"These courses are designed for non-native speakers of English, who wish to develop or improve their English language skills. The courses are suitable for all levels of learner from beginner upwards.","All our ESOL courses are based on the ESOL National Core Curriculum and involve the development of skills in: Speaking, Listening, Reading and Writing. The focus is on everyday English and developing practical communication skills. Learners also develop t","The courses are part time and involve attendence for five hours a week. Courses are offered at all associate Faculty centres and are run in both the day and the evening.
A variety of teaching methods are used, including role-play, drilling, group work an","When you achieve the appropriate standard, you will be able to progress to a higher level ESOL course. You will be able to progress onto a vocational course if you wish to do so.","No qualifications are required, only a willingness to learn.Your level of English will be assessed and you will be placed on the correct level of course for you.","The course starts on Monday 8 January 2007, and takes 12 weeks to complete studying part time day for 5 hours per week on various days. You will study at the Beckton Globe Centre.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £645. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1101158,06/07C,1D-NC-ESOL-1-2C-GL,Foundation programmes
English for Speakers of Other Languages,1,16-Apr-07,12 weeks,5,Part Time Day,Little Ilford Centre,0,Level 1,"These courses are designed for non-native speakers of English, who wish to develop or improve their English language skills. The courses are suitable for all levels of learner from beginner upwards.","All our ESOL courses are based on the ESOL National Core Curriculum and involve the development of skills in: Speaking, Listening, Reading and Writing. The focus is on everyday English and developing practical communication skills. Learners also develop t","The courses are part time and involve attendence for five hours a week. Courses are offered at all associate Faculty centres and are run in both the day and the evening.
A variety of teaching methods are used, including role-play, drilling, group work an","When you achieve the appropriate standard, you will be able to progress to a higher level ESOL course. You will be able to progress onto a vocational course if you wish to do so.","No qualifications are required, only a willingness to learn. Your level of English will be assessed and you will be placed on the correct level of course for you.","The course starts on Monday 16 April 2007, and takes 12 weeks to complete studying part time day for 5 hours per week on various days. You will study at the Little Ilford Centre.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £645. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1100509,06/07E,1D-NC-ESOL-1-3E-LI,Foundation programmes
English for Speakers of Other Languages,Entry,16-Apr-07,12 weeks,5,Part Time Evening,Little Ilford Centre,0,Entry Level,"These courses are designed for non-native speakers of English, who wish to develop or improve their English language skills. The courses are suitable for all levels of learner from beginner upwards.","All our ESOL courses are based on the ESOL National Core Curriculum and involve the development of skills in: Speaking, Listening, Reading and Writing. The focus is on everyday English and developing practical communication skills. Learners also develop t","The courses are part time and involve attendence for five hours a week. Courses are offered at all associate Faculty centres and are run in both the day and the evening.
A variety of teaching methods are used, including role-play, drilling, group work an","When you achieve the appropriate standard, you will be able to progress to a higher level ESOL course. You will be able to progress onto a vocational course if you wish to do so.","No qualifications are required, only a willingness to learn. Your level of English will be assessed and you will be placed on the correct level of course for you.","The course starts on Monday 16 April 2007, and takes 12 weeks to complete studying part time evening for 5 hours per week on various days. You will study at the Little Ilford Centre.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £645. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1E00431,06/07E,1E-NC-ESOL-B-3E-LI,Foundation programmes
English for Speakers of Other Languages,1,18-Sep-06,12 weeks,5,Part Time Day,Little Ilford Centre,0,Level 1,"These courses are designed for non-native speakers of English, who wish to develop or improve their English language skills. The courses are suitable for all levels of learner from beginner upwards.","All our ESOL courses are based on the ESOL National Core Curriculum and involve the development of skills in: Speaking, Listening, Reading and Writing. The focus is on everyday English and developing practical communication skills. Learners also develop t","The courses are part time and involve attendence for five hours a week. Courses are offered at all associate Faculty centres and are run in both the day and the evening.
A variety of teaching methods are used, including role-play, drilling, group work an","When you achieve the appropriate standard, you will be able to progress to a higher level ESOL course. You will be able to progress onto a vocational course if you wish to do so.","No qualifications are required, only a willingness to learn. Your level of English will be assessed and you will be placed on the correct level of course for you.","The course starts on Monday 18 September 2006, and takes 12 weeks to complete studying part time day for 5 hours per week on various days. You will study at the Little Ilford Centre.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £645. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1100108,06/07A,1D-NC-ESOL-1-1A-LI,Foundation programmes
English for Speakers of Other Languages,1,18-Sep-06,12 weeks,5,Part Time Evening,Royal Docks Learning Zone,0,Level 1,"The courses are designed for non-native speakers of English who wish to develop or improve their English language skills. The courses are suitable for all levels of learner, from beginner upwards.","All our ESOL courses are based on the the ESOL National Core Curriculum and involve the development of skills in: Speaking, Listening, Reading, and Writing. The focus is on everyday English and developing practical communication skills. Learners also deve","The courses are part time and involve attendence for five hours a week. Courses are offered at all Associate Faculty centres and are run in both the day and the evening.
A variety of teaching methods are used, including role-play, drilling, group work an","When you achieve the appropriate standard, you will be able to progress to a higher level ESOL course. You will also be able to progress onto a vocational course if you wish to do so.","No qualifications are required, only a willingness to learn.
Your level of English will be assessed and you will be placed on the correct level of course for you.","The course starts on Monday 18 September 2006, and takes 12 weeks to complete studying part time evening for 5 hours per week on various days. You will study at the Royal Docks Learning Zone.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £645. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1100426,06/07A,1E-NC-ESOL-1-1A-RD,Foundation programmes
Basic Skills - Numeracy,1,16-Apr-07,12 weeks,2.5,Part Time Evening,Royal Docks Learning Zone,0,Entry Level,"You will improve, develop and use mathematical information given by numbers and symbols in simple graphical, numerical and written material. Learning takes place in a friendly environment.",Adult Numeracy Core Curriculum,"Whole numbers, Addition, Subtraction, Fraction & Multiplication, Decimals & percentages, Use a calculator to check calculations using whole numbers.",The course will enable you to achieve NEWCAD accreditation and will enable you to continue your studies to Pre-GCSE/GCSE Maths and go on to other courses of your chosen pathway.,"No qualifications required, as you will be assessed on enrolment with continual assessment throughout.","The course starts on Monday 16 April 2007, and takes 12 weeks to complete studying part time evening for 2.5 hours per week on various days. You will study at the Royal Docks Learning Zone.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £375. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1100465,06/07E,1E-NC-BSKNUM-C-3E-RD,Foundation programmes
Basic Skills,Entry,14-Apr-07,12 weeks,4,Part Time Day,Royal Docks Learning Zone,0,Entry Level,"You will improve and develop spelling, writing and reading skills and develop your listening and speaking skills in the form of discussion.","You will begin to write words and sentences that begin to demonstrate a basic understanding of punctuation, grammar and spelling.","This course involves developing all of the underpinning skills required to gain access onto the Intermediate course. The course is primarily paper-based, although the use of audio/video whenever resources are made available is encouraged. The course will ","This course will enable you to progress onto the next level so that you can continue to develop skills, understanding and confidence.",No qualifications required - only a willingness to learn.,"The course starts on Saturday 14 April 2007, and takes 12 weeks to complete studying part time day for 4 hours per week on various days. You will study at the Royal Docks Learning Zone.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £645. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1E01649,06/07E,1D-NC-BSK-B-3E-RD,Foundation programmes
Basic Skills,Entry,18-Sep-06,12 weeks,4,Part Time Day,Royal Docks Learning Zone,0,Entry Level,"You will improve and develop spelling, writing and reading skills and develop your listening and speaking skills in the form of discussion.","You will begin to write words and sentences that begin to demonstrate a basic understanding of punctuation, grammar and spelling.","This course involves developing all of the underpinning skills required to gain access onto the Intermediate course. The course is primarily paper-based, although the use of audio/video whenever resources are made available is encouraged. The course will ","This course will enable you to progress onto the next level so that you can continue to develop skills, understanding and confidence.",No qualifications required - only a willingness to learn.,"The course starts on Monday 18 September 2006, and takes 12 weeks to complete studying part time day for 4 hours per week on various days. You will study at the Royal Docks Learning Zone.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £645. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1E00352,06/07A,1D-NC-BSK-B-1A-RD,Foundation programmes
Literacy  Foundation Level,1,04-Jun-07,6 weeks,5,Part Time Evening,Stratford Campus,0,Level 1,This course is designed for native and second language speakers who have a firm grasp of the language but need to improve their reading and/ or writing skills.,Learners are encouraged and supported to improve the skill(s) they are less confident in. Learners also have an opportunity to sit the National Basic Skills Tests.,You need to attend at least 85% of classes in order to achieve credits.,Progression onto vocational programmes. Enhanced employment prospects.,To attend a language assessment and interview.,"The course starts on Monday 4 June 2007, and takes 6 weeks to complete studying part time evening for 5 hours per week. You will study at the Stratford Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £375. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1100667,06/07F,1E-NC-BSKENG-1-6F-S,Foundation programmes
English For Speakers Of Other Languages,1,30-Oct-06,6 weeks,8.5,Part Time Day,East Ham Campus,0,Level 1,"This course is designed for learners who are able to apply language and literacy skills to a range of situations such as everyday, official and in particular, study situations.","You will build on previous knowledge in order to achieve the skills at foundation level. At this level of study you will focus on a wider and more general context for using language and literacy, to achieve the skills necessary to acquire Level 1 and move",You need to attend at least 85% of classes in order to achieve credits.,"Progression onto Level 2.
Progression onto vocational programmes.",You will need to attend a language assessment and interview or progression from Entry Level 3.,"The course starts on Monday 30 October 2006, and takes 6 weeks to complete studying part time day for 8.5 hours per week on various days. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £510. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1100618,06/07B,1D-NC-ESOL-1-2B,Foundation programmes
This is not a marketing course.,2,11-Sep-06,30 weeks,1,Part Time Day,Stratford Campus,0,,This course is tutorial support for GCSE students and is part of the FT GCSE Science programme,,,,,"The course starts on Monday 11 September 2006, and takes 30 weeks to complete studying part time day for 1 hours per week. You will study at the Stratford Campus.",There is no fee for this course. ,C2200412,06/07A,1D-GCSE-TUTOR-2,Foundation programmes
English for Speakers of Other Languages,1,11-Sep-06,6 weeks,5,Part Time Evening,East Ham Campus,0,Level 1,"This course is designed for learners who are able to apply language and literacy skills to a range of situations such as everyday, official, and, in particular, study situations.",You will build on previous knowledge in order to achieve the skills at foundation level. At this level of study you will focus on a wider and more general context for using language and literacy and achieve the skills necessary to acquire Level 1 and move,You will need to attend at least 85% of the classes in order to achieve credits.,"Progression onto Level 2.
Progression onto vocational programmes.","You will need to attend a language interview, or progression from Entry Level 3.","The course starts on Monday 11 September 2006, and takes 6 weeks to complete studying part time evening for 5 hours per week on various days. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £375. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1101052,06/07A,1E-NC-ESOL-1-1A,Foundation programmes
Foundation Science,1,11-Sep-06,6 weeks,17,Full Time Short,Stratford Campus,0,Level 1,"If you would like to pursue a career in a Science or Health related area and do not have the necessary basic qualification, then this is the course for you.  ","Communication, IT, Numeracy and Planning skills are all applied in a range of science units that include: Biology, Chemistry and  Physics.
This is part of a series of six-week terms forming a programme of study that will give you an introduction to labor",The course is divided into units that are evidence based.  ,"To achieve a NewCAD Diploma you must complete 15 units; if you accomplish at least 6 units you will be awarded the NewCAD Certificate. With the full NewCAD Diploma you can progress onto a Level 2 course in Science or pre-Access programme. 
Most classes a","No qualifications are required, however a basic level of numeracy and literacy is expected.","The course starts on Monday 11 September 2006, and takes 6 weeks to complete studying full time for 17 hours per week. You will study at the Stratford Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1100559,06/07A,1D-NC-SCIEN-1-1A-S,Foundation programmes
English Young Adults,1,04-Jun-07,6 weeks,16,Full Time Short,East Ham Campus,0,Level 1,"If you are between 16 and 19 years of age and want to study full-time, If you want to improve your skills so that you can get on to a range of other courses, get a job, or just keep on learning, then this is the programme for you.","In Young Adults you will learn how to work in a more independent manner, improve your skills in English, Numeracy and IT. You will also have a weekly tutorial. Every six weeks you will have an assessment in each subject. These assessments build up into a ", ,"When you achieve the NewCAD Diploma at level 1, you will be able to progress onto other NCFE courses such as Business, Care, Construction, IT, Engineering or Hairdressing.","No formal qualifications are required. You need to demonstrate a commitment to the course and be prepared to study full-time. The Young Adults Pathway is for those who need to learn or improve their skills up to pre-GCSE level, as well as for work and tra","The course starts on Monday 4 June 2007, and takes 6 weeks to complete studying full time for 16 hours per week on various days. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1100572,06/07F,1S-NC-YAD-1-6F,Foundation programmes
English Young Adults,Entry,11-Sep-06,6 weeks,16,Full Time Short,East Ham Campus,0,Entry Level,"If you are between 16 and 19 years of age and want to study full-time, if you want to improve your skills so that you can get on to a range of other courses, or get a job, or just keep on learning, then this is the programme for you.","In Young Adults you will learn how to work in a more independent manner, improve your skills in English, Numeracy, and IT. You will also have a weekly tutorial. Every six weeks you will have an assessment in each subject. These assessments build up into a", ,"When you achieve the NewCAD Diploma at Entry Level 3, you can progress on to the English Young Adults Level 1. Alternatively, you can progress onto other NCFE coursees such as Business, Care, Constuction, IT, Engineering, or Hairdressing.","No formal qualifications are required. You need to demonstrate a commitment to the course and be prepared to study full-time. The Young Adults Pathway is for those who need to learn or improve their skills up to pre-GCSE level, as well as for work and tra","The course starts on Monday 11 September 2006, and takes 6 weeks to complete studying full time for 16 hours per week on various days. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1E00218,06/07A,1S-NC-YAD-C-1A,Foundation programmes
Foundation Science,1,19-Feb-07,6 weeks,17,Full Time Short,Stratford Campus,0,Level 1,"If you would like to pursue a career in a Science or Health related area and do not have the necessary basic qualification, then this is the course for you.  ","Communication, IT, Numeracy and Planning skills are all applied in a range of science units that include: Biology, Chemistry and  Physics.
This is part of a series of six-week terms forming a programme of study that will give you an introduction to labor",The course is divided into units that are evidence based.  ,"To achieve a NewCAD Diploma you must complete 15 units; if you accomplish at least 6 units you will be awarded the NewCAD Certificate. With the full NewCAD Diploma you can progress onto a Level 2 course in Science or pre-Access programme. 
Most classes a","No qualifications are required, however a basic level of numeracy and literacy is expected.","The course starts on Monday 19 February 2007, and takes 6 weeks to complete studying full time for 17 hours per week. You will study at the Stratford Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1100201,06/07D,1D-NC-SCIEN-1-4D-S,Foundation programmes
NewCAD Self-Advocacy,Entry,11-Sep-06,40 weeks,1,Part Time Day,Stratford Campus,89,Entry Level,"It is if you are a young adult
It is if you have additional learning needs
It is if you want to work towards: speaking up for yourself, identifying and working towards your goals, feeling and being recognised as part of a community.","An opportunity to develop:
an understanding of your rights and responsibilities
expressing your views and asking questions
being able to describe you feelings and emotions
an understanding of your place in the community
The course runs at three diffe",You will have an opportunity to understand more about yourself in the community.,"When you complete the course you will have the opportunity to:
move to another course within the College
move on to vocational training
move into employment","You do not need to have a qualification to do the course.
You will be interviewed and asked to do some tasks which will help us to make sure that you are on the right programme.","The course starts on Monday 11 September 2006, and takes 40 weeks to complete studying part time day for 1 hours per week. You will study at the Stratford Campus.",The course fee is £89. If you are not eligible for the home student fee you will be charged the overseas fee of £445. This course is free to UK/EU residents who are unemployed and in receipt of benefits. ,C1E02670,06/07A,1D-NC-SELFAD-A-S,Foundation programmes
Adult Programme: Applied Communications,Entry,11-Sep-06,40 weeks,1.25,Part Time Day,East Ham Campus,0,Entry Level,"It is if you are an adult (usually over the age of 25), have additional learning needs or if you want to work towards gaining a qualification, being more independent or taking part in further college courses.","You will learn about signs and symbols and will be able to discuss matters of personal interest. You will be able to improve your speaking and listening skills which will enable you to participate in further education activities.
As well as this, you wil","As well as having an opportunity to develop your skills, you will also be able to think about what you want to do in the future.",When you complete the course you will have the opportunity to move to another course within the College or to improve your skills and look at alternative progression routes.,You do not need to have a qualification to do the course - you will be interviewed and asked to do some tasks which will help us to make sure that you are on the right programme.,"The course starts on Monday 11 September 2006, and takes 40 weeks to complete studying part time day for 1.25 hours per week on Wednesday. You will study at the East Ham Campus.",This course is free to home students. If you are not a home student you will be charged the overseas fee of £510. This course is free to UK residents and people from EU countries,C1E02713,06/07A,1D-NC-ADAPPCOM-C,Foundation programmes
Adult Programme: Applied Numeracy,Entry,11-Sep-06,40 weeks,1.25,Part Time Day,East Ham Campus,0,Entry Level,"It is if you are an adult (usually over the age of 25), have additional learning needs or if you want to work towards gaining a qualification, being more independent or taking part in further college courses.","You will learn about time and money and practical numeracy skills. You will be able to practice skills learnt in a meaningful way, such as buying something from the canteen and checking your change.
As well as this, you will have an opportunity to develo","As well as having an opportunity to develop you skills, you will also be able to think about the sort of things you want to do in the future.",When you complete the course you will have the opportunity to move to another course within the College or to improve you skills and look at alternative progression routes.,You do not need to have a qualification to do the course - you will be interviewed and asked to do some tasks which will help us to make sure that you are on the right programme.,"The course starts on Monday 11 September 2006, and takes 40 weeks to complete studying part time day for 1.25 hours per week on Wednesday. You will study at the East Ham Campus.",This course is free to home students. If you are not a home student you will be charged the overseas fee of £510. ,C1E02715,06/07A,1D-NC-ADAPPNUM-C,Foundation programmes
Adult Programme: Drama,Entry,11-Sep-06,40 weeks,1.25,Part Time Day,East Ham Campus,0,Entry Level,"It is if you are an adult (usually over the age of 25), have additional learning needs or if you want to work towards gaining a qualification, being more independent or taking part in further college courses.","You will be able to express yourself in a creative way which will enhance your ability to communicate both verbally and non-verbally.
As well as this, you will have an opportunity to develop basic skills, independence skills, skills that you need in orde",As well as having an opportunity to develop your skills you will also be able to think about the sort of things you want to do in the future.,When you complete the course you will have the opportunity to move to another course within the College or to improve your skills and look at alternative progression routes.,You do not need to have a qualification to do the course - you will be interviewed and asked to do some tasks which will help us to make sure that you are on the right programme.,"The course starts on Monday 11 September 2006, and takes 40 weeks to complete studying part time day for 1.25 hours per week on Thursday. You will study at the East Ham Campus.",This course is free to home students. If you are not a home student you will be charged the overseas fee of £510. ,C1E02717,06/07A,1D-NC-ADDRAMA-C,Foundation programmes
